date,u1,u2,u3,u4
2003-12-09,-0.01189,0.54673,1.50091,1.32089
2004-01-28,0.0273,3.64516,0.66582,2.50036
2004-03-16,0.01589,-0.78108,-0.51714,-1.77038
2004-05-04,-0.16698,-0.091,0.16574,1.1878
2004-06-30,-0.06857,-0.50133,0.46318,0.41682
2004-08-10,0.096,0.80941,-0.05382,0.22348
2004-09-21,0.00126,-0.06271,-0.57681,-0.10914
2004-11-10,-0.10146,-0.24044,-0.43166,-0.35283
2004-12-14,-0.12595,-0.155,-0.12616,-0.20112
2005-02-02,-0.00055,0.13591,-0.68988,-0.06636
2005-03-22,-0.01576,1.00569,1.83884,1.33344
2005-05-03,-0.08502,0.13703,-0.45691,1.18695
2005-06-30,-0.07998,1.26475,-0.85037,-0.05061
2005-08-09,-0.09477,-0.48316,-0.21762,-0.06453
2005-09-20,0.63461,-0.05425,-0.72797,-0.28445
2005-11-01,-0.07663,-0.01759,-0.18598,0.75562
2005-12-13,-0.12009,-0.56595,-0.32074,0.7037
2006-01-31,0.06426,0.6143,0.45763,0.17112
2006-03-28,-0.01017,1.35402,0.33549,-0.16392
2006-05-10,-0.012,0.91361,-0.01521,0.86746
2006-06-29,-0.20142,-1.20688,0.61626,0.03519
2006-08-08,-0.66458,0.59972,0.09993,-0.63479
2006-09-20,-0.21759,0.79811,-0.14666,0.09614
2006-10-25,-0.06772,-0.03584,-0.29464,-0.40836
2006-12-12,0.00847,-0.81888,-0.24135,-0.33495
2007-01-31,-0.06894,-0.66263,-0.26253,0.76905
2007-03-21,0.01966,-2.32284,0.30471,-0.18169
2007-05-09,-0.09922,0.11412,0.67479,-0.15862
2007-06-28,-0.00359,0.58101,-0.05534,-0.20478
2007-08-07,0.09754,0.83163,0.21278,-2.54045
2007-08-10,0.2036,0.48836,-0.33861,0.02481
2007-08-17,0.47161,-1.06601,1.6561,0.61308
2007-09-18,-2.80335,-1.48741,1.51279,0.76678
2007-10-31,-0.36892,1.71048,0.01751,0.72775
2007-12-11,0.46666,-0.15298,0.90764,-5.60578
2008-01-22,-6.58258,5.90194,0.21746,-0.10594
2008-01-30,-1.61342,-0.79166,1.1065,0.61199
2008-03-11,1.171,1.17874,-0.0746,3.30819
2008-03-18,1.34411,0.86854,-0.50841,-1.94219
2008-04-30,-0.91317,-0.16512,0.21321,0.17188
2008-06-25,-0.13294,-0.62896,0.55082,-0.50368
2008-08-05,-0.04171,-0.20444,0.49623,0.2512
2008-09-16,1.50507,0.40574,0.78337,-0.55181
2008-10-08,-1.72211,2.4172,0.26233,-0.42874
2008-10-29,-0.48779,2.3418,-0.7514,-4.28424
2008-12-16,-2.2336,-2.18595,-1.86795,0.1397
2009-01-28,0.07105,-0.02111,0.43583,-0.13827
2009-03-18,0.00653,-0.43445,-11.61888,0.06484
2009-04-29,0.06947,-1.16573,1.66824,1.82856
2009-06-24,-0.00649,0.65488,2.24787,0.1032
2009-08-12,0.00204,0.07699,0.75854,-0.54172
2009-09-23,-0.05524,-1.52847,-0.85274,-0.45665
2009-11-04,-0.07596,-0.55267,1.09946,-0.18489
2009-12-16,-0.43818,0.26234,0.85779,0.02464
2010-01-27,-0.08381,0.82224,-0.57,1.32456
2010-03-16,-0.06294,-0.86464,0.45525,-0.53841
2010-04-28,0.00216,-0.46537,0.54048,0.27049
2010-06-23,0.07102,-0.49097,0.00227,0.60353
2010-08-10,0.05292,-0.65638,-1.75777,0.89223
2010-09-21,0.00205,-0.89304,-0.04466,0.97301
2010-11-03,0.12094,-0.02394,2.25993,-0.81294
2010-12-14,0.00231,-0.28293,0.8434,-0.04929
2011-01-26,-0.06702,-0.22922,0.80496,-0.30624
2011-03-15,-0.00637,0.05564,-0.15998,1.1204
2011-04-27,0.00655,-0.59652,0.16425,-0.3325
2011-06-22,-0.00287,-0.00588,0.37603,0.52668
2011-08-09,-0.07935,-0.24686,1.2657,-3.37189
2011-09-21,0.10815,1.15631,-1.99095,0.05453
2011-11-02,-0.0026,0.36997,-0.1421,-0.06616
2011-12-13,0.06019,0.98619,-0.33614,-1.40698
2012-01-25,-0.06754,-0.37694,-1.17582,0.1238
2012-03-13,-0.00082,-0.04679,1.03882,0.16872
2012-04-25,0.00121,-0.09028,0.50051,-0.11667
2012-06-20,0.10061,0.56499,-1.4943,0.15007
2012-08-01,-0.16672,0.44915,0.17245,0.60834
2012-09-13,0.12206,-0.9417,1.81504,1.71291
2012-10-24,-0.07091,0.15107,-0.1249,-0.10163
2012-12-12,0.05873,-0.7142,0.88178,0.77495
2013-01-30,0.07225,-0.05624,-0.05727,-0.28332
2013-03-20,0.00083,-0.15521,-0.08008,0.08414
2013-05-01,-0.29204,-0.05075,0.35811,0.37355
2013-06-19,-0.00292,0.01173,1.47962,0.45063
2013-07-31,0.07144,-0.57036,-0.57239,0.67788
2013-09-18,0.00666,-1.13249,-2.62687,0.61046
2013-10-30,-0.00015,0.24336,1.09302,-0.39995
2013-12-18,0.00304,-1.18334,0.17162,1.21575
2014-01-29,-0.00067,0.66655,-0.42586,-0.86309
2014-03-19,-0.01202,0.88342,0.32719,0.89884
2014-04-30,0.00019,-0.07533,0.21344,0.06748
2014-06-18,-0.00335,-0.14281,-0.41702,0.8677
2014-07-30,-0.07008,-0.41375,-0.48739,0.61911
2014-09-17,-0.00699,0.0615,0.1305,1.21239
2014-10-29,0.06262,0.88215,-0.02515,0.09961
2014-12-17,-0.06273,-1.97761,0.6836,0.1224
2015-01-28,0.00219,0.13234,-0.1534,-0.60345
2015-03-18,-0.06774,-2.7533,-0.22003,1.15559
2015-04-29,-0.07001,-0.09932,-0.11287,0.10736
2015-06-17,-0.07299,-0.80741,-0.57395,-0.2647
2015-07-29,-0.0681,-0.26877,-0.24785,0.01384
