date,u1,u2,u3,u4
16/09/2003,0.08177,-0.02966,0.07713,-0.43199
28/10/2003,-0.21,-1.60495,0.23107,-1.51901
09/12/2003,-0.2324,2.20171,2.13895,0.8705
28/01/2004,0.36481,4.16692,-0.9627,1.26262
16/03/2004,-0.03812,-1.49955,-0.41047,-1.23406
04/05/2004,-0.11637,0.31194,0.32518,0.96449
30/06/2004,-0.18953,0.12339,1.03779,0.40709
10/08/2004,0.18042,0.66254,-0.54168,0.02068
21/09/2004,0.12207,-0.64837,-0.90272,-0.04547
10/11/2004,-0.02169,-0.69865,-0.57041,-0.20569
14/12/2004,-0.09476,-0.29441,-0.12177,-0.11516
