year,month,day,ff4_hf,sp500_hf,MP_pm,CBI_pm,MP_med,CBI_med
1999,2,3,0,0.14979,0,0,-0.00774333,0.00774333
1999,3,30,-0.02,-0.20642,-0,-0.02,0.00067079,-0.02067079
1999,5,18,0.04,-1.43559,0.04,0,0.09421218,-0.05421218
1999,6,30,-0.07,1.60906,-0.07,-0,-0.11817963,0.04817963
1999,8,24,0.015,0.57282,0,0.015,-0.02211167,0.03711167
1999,10,5,0.04,-0.82928,0.04,0,0.06286926,-0.02286926
1999,11,16,0.06001,-0.41763,0.06001,0,0.0515942,0.0084158
1999,12,21,-0.005,0.47722,-0.005,-0,-0.02716967,0.02216967
2000,2,2,0.005,-0.4101,0.005,0,0.02369994,-0.01869994
2000,3,21,-0.00999,0.06116,-0.00999,-0,-0.00815664,-0.00183336
2000,5,16,0.07,-0.5454,0.07,0,0.06319421,0.00680579
2000,6,28,-0.01501,0.25302,-0.01501,-0,-0.02058476,0.00557476
2000,8,22,0.005,-0.12621,0.005,0,0.00902437,-0.00402437
2000,10,3,0.025,-0.30266,0.025,0,0.02814587,-0.00314587
2000,11,15,0,-0.66752,0,0,0.03450715,-0.03450715
2000,12,19,-0.005,-0.69114,-0,-0.005,0.03322817,-0.03822817
2001,1,3,-0.15,4.07575,-0.15,-0,-0.28569406,0.13569406
2001,1,31,0.03001,-0.62364,0.03001,0,0.04724379,-0.01723379
2001,3,20,-0.075,-0.67958,-0,-0.075,-0.00236942,-0.07263058
2001,4,18,-0.37,2.22956,-0.37,-0,-0.3002561,-0.0697439
2001,5,15,-0.14,0.40882,-0.14,-0,-0.09113377,-0.04886623
2001,6,27,0.075,-0.40319,0.075,0,0.05834273,0.01665727
2001,8,21,-0.02,-0.71223,-0,-0.02,0.02681841,-0.04681841
2001,9,17,-0.045,NaN,-0,-0,NaN,NaN
2001,10,2,-0.04,-0.30724,-0,-0.04,-0.00411737,-0.03588263
2001,11,6,-0.14,0.94037,-0.14,-0,-0.118612,-0.021388
2001,12,11,-0.03,0.22721,-0.03,-0,-0.02674552,-0.00325448
2002,1,30,0.02,-0.12751,0.02,0,0.01659157,0.00340843
2002,3,19,-0.045,-0.38271,-0,-0.045,-0.00271598,-0.04228402
2002,5,7,-0.02,-0.37352,-0,-0.02,0.00930895,-0.02930895
2002,6,26,-0.01,-0.60479,-0,-0.01,0.02626435,-0.03626435
2002,8,13,-0.04,-0.69761,-0,-0.04,0.01606264,-0.05606264
2002,9,24,-0.005,-0.9571,-0,-0.005,0.04697685,-0.05197685
2002,11,6,-0.085,-0.92593,-0,-0.085,0.00536554,-0.09036554
2002,12,10,0.01,-0.33811,0.01,0,0.02247844,-0.01247844
2003,1,29,0.03,0.16534,0,0.03,0.00645282,0.02354718
2003,3,18,-0.02,-0.50717,-0,-0.02,0.01621793,-0.03621793
2003,5,6,-0.04,0.17834,-0.04,-0,-0.02921921,-0.01078079
2003,6,25,0.105,-0.27153,0.105,0,0.06653662,0.03846338
2003,8,12,0,-0.10492,0,0,0.00542379,-0.00542379
2003,9,16,0,-0.18495,0,0,0.00956091,-0.00956091
2003,10,28,-0.01,-0.05012,-0,-0.01,-0.00240907,-0.00759093
2003,12,9,0.005,-0.05813,0.005,0,0.005505,-0.000505
2004,1,28,0.005,-0.9677,0.005,0,0.05252482,-0.04752482
2004,3,16,-0.005,-0.07294,-0,-0.005,0.0012706,-0.0062706
2004,5,4,-0.005,0.36567,-0.005,-0,-0.02140315,0.01640315
2004,6,30,-0.01,0.28122,-0.01,-0,-0.01953754,0.00953754
2004,8,10,0.03999,-0.2991,0.03999,0,0.03545684,0.00453316
2004,9,21,-0.01,0.06393,-0.01,-0,-0.00830483,-0.00169517
2004,11,10,-0.00999,0.08411,-0.00999,-0,-0.00934303,-0.00064697
2004,12,14,-0.005,0.05833,-0.005,-0,-0.00551534,0.00051534
2005,2,2,0,0.00504,0,0,-0.00026054,0.00026054
2005,3,22,0.01,-0.28511,0.01,0,0.01973863,-0.00973863
2005,5,3,0.01,0.32116,0,0.01,-0.01160222,0.02160222
2005,6,30,0.015,-0.42657,0.015,0,0.02955134,-0.01455134
2005,8,9,-0.01,0.23399,-0.01,-0,-0.01709601,0.00709601
2005,9,20,0.03,-0.12166,0.03,0,0.02128916,0.00871084
2005,11,1,0,0.24188,0,0,-0.01250388,0.01250388
2005,12,13,-0.005,0.48448,-0.005,-0,-0.02754498,0.02254498
2006,1,31,0.025,-0.28159,0.025,0,0.02705667,-0.00205667
2006,3,28,0.03,-0.64595,0.03,0,0.04839209,-0.01839209
2006,5,10,0.035,-0.15511,0.035,0,0.02551834,0.00948166
2006,6,29,-0.025,0.49365,-0.025,-0,-0.03801901,0.01301901
2006,8,8,-0.035,-0.26456,-0,-0.035,-0.00382369,-0.03117631
2006,9,20,0,-0.24016,0,0,0.01241496,-0.01241496
2006,10,25,-0.005,-0.03989,-0,-0.005,-0.0004379,-0.0045621
2006,12,12,-0.005,0.28273,-0.005,-0,-0.0171156,0.0121156
2007,1,31,-0.005,0.52273,-0.005,-0,-0.02952229,0.02452229
2007,3,21,-0.01501,0.88763,-0.01501,-0,-0.05339063,0.03838063
2007,5,9,0.005,-0.1418,0.005,0,0.00983029,-0.00483029
2007,6,28,0,-0.28916,0,0,0.014948,-0.014948
2007,8,7,0,-1.05096,0,0,0.0543289,-0.0543289
2007,8,10,0.015,-0.20921,0.015,0,0.01831502,-0.00331502
2007,8,17,-0.04,0.30044,-0.04,-0,-0.03553111,-0.00446889
2007,9,18,-0.17,1.33054,-0.17,-0,-0.15378167,-0.01621833
2007,10,31,0.03,-0.44209,0.03,0,0.03785364,-0.00785364
2007,12,11,0.03,-1.59674,0.03,0,0.09754276,-0.06754276
2008,1,22,-0.125,-0.9244,-0,-0.125,-0.01471356,-0.11028644
2008,1,30,-0.13,0.75571,-0.13,-0,-0.10406609,-0.02593391
2008,3,11,0.115,0.08089,0,0.115,0.05331843,0.06168157
2008,3,18,0.075,-1.13335,0.075,0,0.09608802,-0.02108802
2008,4,30,-0.075,0.31143,-0.075,-0,-0.05359923,-0.02140077
2008,6,25,0.015,0.10337,0,0.015,0.00215633,0.01284367
2008,8,5,-0.03,0.10375,-0.03,-0,-0.02036331,-0.00963669
2008,9,16,0.12,-0.76838,0.12,0,0.09972106,0.02027894
2008,10,8,-0.00999,-0.73477,-0,-0.00999,0.0329886,-0.0429786
2008,10,29,-0.05,-1.88032,-0,-0.05,0.0722023,-0.1222023
2008,12,16,-0.18501,1.71037,-0.18501,-0,-0.18092181,-0.00408819
2009,1,28,0,-0.09395,0,0,0.0048567,-0.0048567
2009,3,18,-0.01,1.5276,-0.01,-0,-0.0839686,0.0739686
2009,4,29,0.005,0.75174,0,0.005,-0.03636086,0.04136086
2009,6,24,0,-0.50384,0,0,0.02604578,-0.02604578
2009,8,12,-0.005,-0.25911,-0,-0.005,0.01089458,-0.01589458
2009,9,23,-0.015,0.63447,-0.015,-0,-0.04029864,0.02529864
2009,11,4,-0.00999,0.07677,-0.00999,-0,-0.00896359,-0.00102641
2009,12,16,-0.005,-0.09519,-0,-0.005,0.0024208,-0.0074208
2010,1,27,0,0.0819,0,0,-0.00423378,0.00423378
2010,3,16,-0.01,0.18716,-0.01,-0,-0.01467515,0.00467515
2010,4,28,-0.01,0.20239,-0.01,-0,-0.01546246,0.00546246
2010,6,23,0,0.34373,0,0,-0.01776897,0.01776897
2010,8,10,0,0.69335,0,0,-0.03584242,0.03584242
2010,9,21,0.005,0.62964,0,0.005,-0.03004896,0.03504896
2010,11,3,0.005,-0.48747,0.005,0,0.02769954,-0.02269954
2010,12,14,0,0.00883,0,0,-0.00045646,0.00045646
2011,1,26,-0.005,-0.05857,-0,-0.005,0.00052775,-0.00552775
2011,3,15,0,0.28501,0,0,-0.01473346,0.01473346
2011,4,27,-0.005,0.14414,-0.005,-0,-0.00995125,0.00495125
2011,6,22,-0.005,0.09572,-0.005,-0,-0.0074482,0.0024482
2011,8,9,-0.005,-0.89025,-0,-0.005,0.04352107,-0.04852107
2011,9,21,0.02,-0.26924,0.02,0,0.02391824,-0.00391824
2011,11,2,0.01,-0.15528,0.01,0,0.01302713,-0.00302713
2011,12,13,0,-0.75199,0,0,0.03887379,-0.03887379
2012,1,25,0,0.34102,0,0,-0.01762888,0.01762888
2012,3,13,0,-0.05568,0,0,0.00287835,-0.00287835
2012,4,25,0,-0.04978,0,0,0.00257335,-0.00257335
2012,6,20,0.01,-0.0517,0.01,0,0.00767261,0.00232739
2012,8,1,0.015,-0.01087,0.015,0,0.00806192,0.00693808
2012,9,13,0.02,0.5984,0,0.02,-0.02093402,0.04093402
2012,10,24,-0.005,-0.05795,-0,-0.005,0.0004957,-0.0054957
2012,12,12,0,0.38377,0,0,-0.01983882,0.01983882
2013,1,30,0,-0.0604,0,0,0.00312235,-0.00312235
2013,3,20,0.005,0.09572,0,0.005,-0.0024482,0.0074482
2013,5,1,0,0.14757,0,0,-0.00762856,0.00762856
2013,6,19,0.005,-0.05759,0.005,0,0.00547709,-0.00047709
2013,7,31,0,0.46186,0,0,-0.02387565,0.02387565
2013,9,18,0,1.21777,0,0,-0.06295207,0.06295207
2013,10,30,0,-0.33014,0,0,0.01706644,-0.01706644
2013,12,18,0.005,1.6648,0,0.005,-0.08356109,0.08856109
2014,1,29,0,-0.45282,0,0,0.02340833,-0.02340833
2014,3,19,0,-0.17357,0,0,0.00897262,-0.00897262
2014,4,30,0,0.02448,0,0,-0.00126548,0.00126548
2014,6,18,0,0.33186,0,0,-0.01715535,0.01715535
2014,7,30,0,0.40578,0,0,-0.02097661,0.02097661
2014,9,17,0,0.27313,0,0,-0.01411933,0.01411933
2014,10,29,0.01,-0.35665,0.01,0,0.02343686,-0.01343686
2014,12,17,-0.005,0.79783,-0.005,-0,-0.04374346,0.03874346
2015,1,28,0,-0.19384,0,0,0.01002047,-0.01002047
2015,3,18,-0.02,1.49382,-0.02,-0,-0.08722235,0.06722235
2015,4,29,0,0.09926,0,0,-0.0051312,0.0051312
2015,6,17,-0.02,0.35392,-0.02,-0,-0.02829574,0.00829574
2015,7,29,0,0.16123,0,0,-0.00833471,0.00833471
2015,9,17,-0.06499,0.15194,-0.06499,-0,-0.04034947,-0.02464053
2015,10,28,0.035,-0.70941,0.035,0,0.05417263,-0.01917263
2015,12,16,0.02,0.09938,0,0.02,0.0048626,0.0151374
2016,1,27,-0.005,-0.3674,-0,-0.005,0.01649258,-0.02149258
2016,3,16,-0.055,0.24853,-0.055,-0,-0.04034765,-0.01465235
2016,4,27,-0.005,0.23738,-0.005,-0,-0.01477125,0.00977125
2016,6,15,-0.02,-0.0389,-0,-0.02,-0.00798908,-0.01201092
2016,7,27,-0.005,0.17277,-0.005,-0,-0.01143127,0.00643127
2016,9,21,-0.005,0.28085,-0.005,-0,-0.01701841,0.01201841
2016,11,2,0,0.08383,0,0,-0.00433355,0.00433355
2016,12,14,0.01,-0.15587,0.01,0,0.01305763,-0.00305763
