date,gs3mo,ff,bofaml_us_aa_oas,bofaml_us_aa_yld,bofaml_us_bbb_oas,bofaml_us_bbb_yld,bofaml_us_hyld_oas,nfci_lin,eurusd,sp500,sveny01,sveny02,sveny05,sveny10,bkeven02,bkeven03,bkeven04,bkeven05,bkeven10,bkeven1f4,bkeven1f9,bkeven5f05,broad,afe,eme,krippner,krippnerlong
02jan1990,7.8299999,8.54,,,,,,.0404057135539411,-18.116224,588.52423,7.797128282086,7.770959821823,7.846640555914,7.936529377863,,,,,,,,,418.3395250683015,469.3653254266519,324.6189142136008,,8.54
03jan1990,7.8899999,8.3699999,,,,,,.0422071420720656,-16.93457,588.26538,7.84388087226,7.822277933712,7.898858071807,7.982777675691,,,,,,,,,418.4670949890084,469.5189398183751,324.6865250279186,,8.3699999
04jan1990,7.8400002,8.29,,,,,,.04400857059019,-17.303638,587.40033,7.817505255854,7.798764677277,7.880357575367,7.971623529727,,,,,,,,,417.5844205432374,468.2718783478489,324.6427357478582,,8.29
05jan1990,7.79,8.1999998,,,,,,.0458099991083145,-17.749283,586.41992,7.802920569061,7.792237366501,7.882179167572,7.987786139411,,,,,,,,,417.5429212660911,468.2247482486664,324.6141996465561,,8.1999998
08jan1990,7.79,8.2700005,,,,,,.0519085712730885,-18.927244,586.87036,7.791062016992,7.79086311119,7.895337357533,8.013313574981,,,,,,,,,417.3087873112754,467.9349970452668,324.5081067075419,,8.2700005
09jan1990,7.8000002,8.25,,,,,,.0539414286613464,-18.938004,585.68469,7.788918808738,7.786988341276,7.895347776567,8.013937572772999,,,,,,,,,417.6363950578189,468.3778890040877,324.5703092421805,,8.25
10jan1990,7.75,8.1199999,,,,,,.0559742860496044,-19.378868,585.02179,7.777062620623,7.776523152346,7.90141890469,8.018290785873001,,,,,,,,,417.5083227499214,468.1971521846131,324.5634802127757,,8.1199999
11jan1990,7.8000002,8.21,,,,,,.0580071434378624,-18.788139,585.37244,7.769697227168,7.78152255314,7.900929567821,8.013100787726,,,,,,,,,417.5500345520979,468.2342192343928,324.6158850792485,,8.21
12jan1990,7.7399998,8.1599998,,,,,,.0600400008261204,-18.981031,582.87396,7.7778632479,7.799588802962,7.955242449956,8.074021581596,,,,,,,,,417.4200509985057,468.0538437514616,324.6019129067486,,8.1599998
15jan1990,,8.1599998,,,,,,.0650500016553082,-19.064486,582.0083,,,,,,,,,,,,,417.4200509985057,468.0538437514616,324.6019129067486,,8.1599998
